ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Government of Haryana,GMDA,LA123,Infrastructure II Division,"Plot No. 44, Sector-32, Gurugram",122001.0,Chief Engg.,5.0
Government of Haryana,SE SYL WS Circle Ambala,LAOD5,LAND ACQUISITION OFFICE,"CANAL COLONY , MODEL TOWN, AMBALA CITY",134003.0,LAO,5.0
Government of Haryana,Administrator HUDA Faridabad,LAOFA,LAO FARIDABAD,"SECTOR 12 FARIDABAD,  ,  ",,ADDITIONAL CHARGE LAO,4.0
Government of Haryana,DEPUTY COMMISSIONER BHIWANI,LAOIR,Land Acquisition Officer Irrigation Deptt.,"Bhiwani, Bhiwani, Bhiwani",127021.0,LAO Irrigation,3.0
Government of Haryana,Administrator HUDA Panchkula,LAOPK,LAO HUDA PANCHKULA,"SCO No.68  Sector-8  Panchkula.,  ,  ",,Land Acquisition Officer,4.0
Government of Haryana,Administrator Huda Gurgaon,LAOPM,LAND ACQUISITION OFFICER,"SECTOR-14 GURGAON,  ,  ",122001.0,LAND ACQUISITION OFFICER,4.0
Government of Haryana,DEPUTY COMMISSIONER BHIWANI,LAOPW,Land Acquisition Officer PWD Deptt.,"Bhiwani, Bhiwani, Bhiwani",127021.0,LAO PWD,3.0
Government of Haryana,DEPUTY COMMISSIONER,LAORH,LAO HUDA Rohtak,"Rohtak,  ,  ",124001.0,LAO HUDA Office,3.0
Government of Haryana,DRO,LAROH,L.A.C.,"MINI SECTRAIAT, ROHTAK, HARYANA",124001.0,KANOONGO,4.0
Government of Haryana,Administrator HSVP Rohtak,LAO12,LAND ACQUISITION OFFICE ROHTAK,"SECTOR-1 ROHTAK,  ,  ",124001.0,LAND ACQUISITION OFFICER,5.0
Government of Haryana,Administrator HUDA Rohtak,LAO22,LAND ACQUISITION OFFICER ROHTAK,"SECTOR-1, ROHTAK",124001.0,LAND ACQUISITION OFFICER,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,LAN01,LAND BRANCH,"ULB, BAYS NO. 11-14  SECTOR-4  PKL,  ",,SUPERINTENDENT,3.0
Government of Haryana,Administrator HUDA Gurgaon,LAHPM,Land Acquisition Officer,"HUDA Complex  Sector-14, Gurgaon,  ",122001.0,LAO,4.0
Government of Haryana,DEPUTY COMMISSIONER,LAHUD,LAO HUDA Rohtak,"ROHTAK,  ,  ",124001.0,LAO HUDA,3.0
Government of Haryana,Government of Haryana,LBCOM,LABOUR COMMISSIONER,30 BAYS BIDGSECTOR 17CHANDIGARH,,Joint. Labour Commisioner,2.0
Government of Haryana,DEPUTY COMMISSIONER SIRSA,LBCSR,LABOUR COURT SIRSA,"MINI SEC  SIRSA,  ,  ",125055.0,ASST LABOUR COMMISSIONER,3.0
Government of Haryana,Deputy Commissioner Mahendergarh,LBNNL,Lead Bank PNB Narnaul,"Manager Lead Bank, PNB Narnaul, .",123001.0,Chief Lead District Manager,3.0
Government of Haryana,SE BIJLI VIBHAG KARNAL,LC443,Xen OP Division Assandh,"Assandh,  ,  ",132039.0,Xen,4.0
Government of Haryana,SE BIJLI VIBHAG KARNAL,LC444,xen city,"Rajiv Ghandhi Vidut Sadan, Sector -12, Karnal",132001.0,Xen,4.0
Government of Haryana,SE BIJLI VIBHAG KARNAL,LC445,Xen SU Division No 1 UHBVN Karnal,"Rajiv Ghandhi Vidut Sadan, Sector 12, Karnal",132001.0,Xen,4.0
Government of Haryana,SE BIJLI VIBHAG KARNAL,LC448,Xen SU Division No 2 UHBVN Karnal,"Rajiv Ghandhi Vidut Sadan, Sector 12, Karnal",132001.0,Xen,4.0
Government of Haryana,Director Elementary Education Haryana,LC987,Legal Cell,"Shiksha Sadan  Sector-5  Panchkula,  ,  ",,Deputy District Attorney,4.0
Government of Haryana,Registrar Cooperative Societies Haryana,LCFED,Labourfed Panchkula,"The Haryana State Cooperative, Labour and Construction Fed., Sector-2  Panchkula.",,SDO,4.0
