Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax 5 Mumbai,ACR51,Addl. Commissioner of Income Tax Rg.51 Mumbai.,520  5th flr.  Aayakar Bhavan ,M K Marg ,Mumbai.,400020,Addl. CIT Range 51 Mumbai,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax 5 Mumbai,ACR52,Addl. Commissioner of Income Tax Rg. 52 Mumbai.,520  5th flr.  Aayakar Bhavan ,M K Marg ,Mumbai.,400020,Addl. CIT Range 52 Mumbai,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax 5 Mumbai,ACR53,Addl. Commissioner of Income Tax 53 Mumbai.,520  5th flr.  Aayakar Bhavan ,M K Marg ,Mumbai,400020,Addl. CIT Range 53 Mumbai,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 6,ACR61,ADDITIONAL COMMISSIONER OF INCOME TAX R 6 1,BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA ,BENGALURU,NA,560095,JCIT RANGE  6 1  BANGALORE,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 6,ACR62,ADDITIONAL COMMISSIONER OF INCOME TAX R 6 2,BMTC COMPLEX  80 FEET ROAD,6TH BLOCK  KORAMANGALA,BENGALURU,560095,ADDL.CIT R 6 2,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 6,ACR63,ADDITIONAL COMMISSIONER OF INCOME TAX R 6 3,BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA ,BENGALURU,NA,560095,ADDL.CIT R 6 3,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 7,ACR71,ADDITIONAL COMMISSIONER OF INCOME TAX R 7 1,BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA ,BENGALURU,NA,560095,ADDL.CIT R 7 1,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 7,ACR72,ADDITIONAL COMMISSIONER OF INCOME TAX R 7 2,BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA ,BENGALURU,NA,560095,ADDL.CIT R 7 2,5
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER OF INCOME TAX RANGE-2 BHOPAL,ACRB2,ACIT 2-1 BHOPAL,48  ARERA HILLS  AAYKAR BHAWAN,HOSHANGABAD ROAD,BHOPAL,462011,ACIT,NA
Central Board of Direct Taxes (Income Tax),PCIT GULBARGA,ACRBL,ADDL.CIT BALLARI RANGE,BALLARI, , ,NA,ADDL.CIT BALLARI RANGE,5
Central Board of Direct Taxes (Income Tax),PCIT GULBARGA,ACRGL,ADDL.CIT GULBARGA RANGE,GULBARGA, , ,NA,ADDL.CIT GULBARGA RANGE,5
Central Board of Direct Taxes (Income Tax),PCIT MYSORE,ACRHN,ADDITIONAL COMMISSIONER OF INCOME TAX HASSAN RANGE,HASSAN, , ,NA,ADDL.CIT HASSAN,5
Central Board of Direct Taxes (Income Tax),PCIT PANAJI,ACRP1,ADDL CIT RANGE1  PANAJI,1 FLOOR AAYAKAR BHAVAN EDC COMPLEX,PATTO PLAZA PATTO,PANAJI,403001,JT. COMMISSIONER OF INCOME TAX,5
Central Board of Direct Taxes (Income Tax),PCIT GULBARGA,ACRRH,ADDL.CIT RAICHUR RANGE,RAICHUR, , ,NA,ADDL.CIT RAICHUR RANGE,5
Central Board of Direct Taxes (Income Tax),PCIT BANGALORE 7,ACRTK,ADDITIONAL COMMISSIONER OF INCOME TAX TUMKUR RANGE,TUMKUR, , ,NA,ADDL.CIT R TUMKUR,5
Central Board of Direct Taxes (Income Tax),JCIT Range Sagar,ACSGR,ACIT Circle Sagar,Aayakar Bhawan   Sagar,NA,NA,NA,ACIT,5
Central Board of Direct Taxes (Income Tax),Addl. CIT Range Sikar,ACSIK,ACIT Circle Sikar,Income Tax Office  N C R Building,Todi Nagar,Sunwali road  Sikar,NA,Dy.CIT,5
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ACSPT,Asstt. Commissioner of Income Tax,MINERVA COMPLEX,ATLAS ROAD,SONEPAT,131001,Asstt. Commissioner of Income,5
Central Board of Direct Taxes (Income Tax),JCIT RANGE2 NOIDA,ACT01,ACIT CIRCLE2 NOIDA,ROOM NO. 408  AAYAKARA BHAWAN,A-2D  SECTOR-24,NOIDA,201301,DCIT CIRCLE2 NOIDA,5
Central Board of Direct Taxes (Income Tax),JCIT Range1 Tirupati,ACT11,ACIT RANGE1 TIRUPATI,22 AAYAKAR BHAVAN,K T ROAD,TIRUPATI,517507,ACIT,6
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ACT21,Asst. Commissioner of Income Tax Circle21,22  Aayakar bhavan  K T Road ,Tirupati, ,NA,Asst. Commissioner of Income T,6
Central Board of Direct Taxes (Income Tax),JCIT RANGE 5,ACT51,ACIT 5.1,Room No.208,Income Tax office,OPP. White Church  Indore,452001,Ast Commissioner of Income Tax,5
Central Board of Direct Taxes (Income Tax),JCIT Range Chhindwara,ACTCW,ACIT Circle Chhindwara,Aayakar Bhawan,Nagpur Road,Chhindwara,NA,ACIT Circle Chhindwara,5
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Patna,ACTDP,ACITTDSPATNA,6th Floor  C.R. Building Annexee Beer Chand Patel ,Path Patna,NA,800001,ACIT TDS Circle Patna,5
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Dhanbad,ACTTD,ACIT TDS CIRCLE DHANBAD,LUBY CIRCULAR ROAD MADA BUILDING,DHANBAD, ,826001,ACIT TDS CIRCLE DHANBAD,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax VARANASI,ACTVN,Additional CIT 1,Maqbool Alam Road,Aaykar bhawan,Varanasi,221002,Additional CIT,4
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,185,WARD 3 4,INCOME TAX OFFICE,AAYKAR BHAWAN,PAOTA C ROAD JODHPUR,342001,INCOME TAX OFFICER,5
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,411,INCOME TAX OFFICE,AAYKAR BHAWANPAOTA C ROADJODHPUR,NA,NA,342001,INCOME TAX OFFICER,5
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,578,WARD 3-2,AAYKAR BHAWANR,PAOTA C ROAD,JODHPUR,342001,INCOME TAX OFFICER,5
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,645,WARD 3 3,AAYKAR BHAWAN,PAOTA C ROAD,JODHPUR,342001,INCOME TAX OFFICER,5
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,694,WARD 3 5,INCOME TAX OFFICE,AAYKAR BHAWAN PAOTA C ROAD,JODHPUR,342001,INCOME TAX OFFICER,5
Central Board of Direct Taxes (Income Tax),RANGE 3 JODHPUR,6068,ACIT-3,AAYKAR BHAWAN,PAOTA C ROAD,JODHPUR,342001,ASSTT COMMISSIONER,5
Central Board of Direct Taxes (Income Tax),Principal Commissioner of Income Tax - 1 Guwahati,1TEZP,INCOME TAX DEPARTMENT,AAYAKAR BHAWAN,EX POLICE LINE,TEZPUR,784001,ADDL CIT RANGE-TEZPUR,4
Central Board of Direct Taxes (Income Tax),Principal Commissioner of Income Tax - 1 Guwahati,1JCIT,INCOME TAX DEPARTMENT,6TH FLOOR,AAYAKAR BHAWAN,CHRISTIAN BASTI G.S. ROAD GUWAHATI,781005,ADDL CIT RANGE 1 GUWAHATI,4
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX GUWAHATI,1PCIT,Principal Commissioner of Income Tax - 1 Guwahati,2nd Floor  Aayakar Bhawan  Christian Basti ,G. S. Road  Guwahati,NA,781005,PCIT-1 Guwahati,3
Central Board of Direct Taxes (Income Tax),Addl CIT R 28 Kol,281AO,ITO Ward 28_1 Kolkata,2 Gariahat Road South,Kolkata,NA,700068,ITO Ward 28_1 Kolkata,6
Central Board of Direct Taxes (Income Tax),Addl CIT R 28 Kol,282AO,ITO Ward 28_2 Kolkata,2 Gariahat Road South,Kolkata,NA,700068,ITO Ward 28_2 Kolkata,6
Central Board of Direct Taxes (Income Tax),Principal Commissioner of Income Tax - 1 Guwahati,2JCIT,INCOME TAX DEPARTMENT,5TH FLOOR,AAYAKAR BHAWAN,G S ROAD CHRISTIAN BASTI GUWAHATI,781005,ADDL CIT RANGE-2,4
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX GUWAHATI,2PCIT,Principal Commissioner of Income Tax 2 Guwahati,2nd Floor  Aayakar Bhawan  Christian Basti ,G. S. Road  Guwahati,NA,781005,PCIT-2 Guwahati,3
Central Board of Direct Taxes (Income Tax),Addl CIT R 30 Kol,301IT,ITO Ward 30_1 Kolkata,2  Gariahat Road SouthKolkata,NA,NA,700068,ITO Ward 30_1 Kolkata,6
Central Board of Direct Taxes (Income Tax),Addl CIT R 30 Kol,302AO,ITO Ward 30_2 Kolkata,2  Gariahat Road South,Kolkata,NA,700068,ITO Ward 30_2 Kolkata,6
Central Board of Direct Taxes (Income Tax),Addl CIT R 30 Kol,304AO,ITO Ward 30_4 Kolkata,2 Gariahat Road South,Kolkata,NA,700068,ITO Ward 30_4 Kolkata,6
Central Board of Direct Taxes (Income Tax),Range3Lucknow,31LKO,Income Tax Officer-3-1,27/2  P.K. Complex  Raja Ram Mohan Rai Marg  Hazra,tganj  Lucknow,NA,226001,Income Tax officer,5
Central Board of Direct Taxes (Income Tax),Range3Lucknow,33LKO,Income Tax Officer-3-3,27/2  P.K. Complex  Raja Ram Mohan Rai Marg Hazrat,ganj Lucknow,NA,226001,Income Tax Officer,5
Central Board of Direct Taxes (Income Tax),Range3Lucknow,34LKO,Income Tax Officer-3-4,27/2  P.K. Complex  Raja Ram Mohan Rai Marg Hazrat,ganj Lucknow,NA,226001,Income Tax Officer,5
Central Board of Direct Taxes (Income Tax),Range3Lucknow,35LKO,Income Tax Officer-3-5,27/2  P.K. Complex  Raja Ram Mohan Rai Marg,Hazratganj,Lucknow,226001,Income Tax Officer,5
Central Board of Direct Taxes (Income Tax),Range3Lucknow,32LKO,Income Tax Officer-3-2,27/2  P.K. Complex  Raja Ram Mohan Rai Marg,Hazratganj,Lucknow,226001,Income Tax Officer,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax BHOPAL (TDS),AAAAA,JCIT Raipur,Raipur, , ,440101,JCIT TDS,4
Central Board of Direct Taxes (Income Tax),ADDL CIT 9 2,AB092,DCIT9.2.1,ROOM NO.665A AAYAKAR BHAVAN,CHURCHGATE,MUMBAI,400020,DCIT,6
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX MUMBAI,ABPRO,Public Relations Officer 1 Mumbai,Room No.12  Ground Floor ,Aayakar Bhawan  Mumabai, ,400020,Public Relations Officer  1,3
Central Board of Direct Taxes (Income Tax),ADDL CIT 9 2,AC092,ACIT9.2.2,665A AAYAKAR BHAVAN,CHURCHGATE,MUMBAI,400020,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 10 1,AC101,ACIT C 10 1 1,ROOM NO 209 AAYKAR BHAWAN,M K ROAD,MUMBAI,400020,ACIT CIR 10 1 1,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 10 1,AC102,ACIT C 10 1 2,ROOM NO. 651 AAYKAR BHAWAN,M K ROAD,MUMBAI,400020,ACIT CIR 10 1 2,6
Central Board of Direct Taxes (Income Tax),Addl CIT RANGE 11,AC111,The DCIT ACIT CIR 111,ROOM NO 108,AAYAKAR BHAWAN MAJURA GATE,SURAT,395001,DCIT CIR 111,NA
Central Board of Direct Taxes (Income Tax),Addl. CIT Rg 121,AC121,Asst Commissioner 121,Aaykar Bhavan room no 117,New Marine lines,mumbai 20,400020,ACIT 121,6
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 122,AC122,ACIT 122,aaykar bhavan room no 123A,New Marine lines,mumbai,400020,ACIT122,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 12 2,AC126,ACIT 12 2 1,AAYAKAR BHAVAN,MUMBAI, ,NA,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 13 1,AC131,ACIT13.1.1,218  2ND FLOOR,AAYAKAR BHAVAN  M.K. ROAD,CHURCHGATE  MUMBAI,400020,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 13 2,AC132,ACIT 1321,ROOM 146  FIRST FLOOR ,AAYAKAR BHAVAN  M K MARG ,CHURCHGATE  MUMBAI,400020,DCIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 15 1,AC151,ACIT,ROOM 470  AAYKAR BHAWAN ,M.K ROAD ,MUMBAI,400020,ACIT 15 1 1,NA
Central Board of Direct Taxes (Income Tax),ADDL CIT 15 1,AC152,ACIT,ROOM NO 483A  AAYKAR BHAWAN,M.K. ROAD,MUMBAI,400020,ACIT 15 1 1,NA
Central Board of Direct Taxes (Income Tax),ADDL CIT 16 1,AC161,ACIT161,Aaykar Bhawan,Mumbai,NA,400020,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 16 2,AC162,ACIT 16-2 MUMBAI,440  AAYKAR BHAWAN  MUMBAI,Mumbai,NA,400020,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 16 3,AC163,Asst. CIT 16 3,Room no. 446  4th Floor Aaykar BHawan  Mumbai,NA,NA,400020,ACIT,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 17 2,AC172,ACIT 17 2,Room No 123A,1st Floor Aayakar Bhavan,Mumbai 400020,400020,ACIT 17 2,6
